driver_number,driver_form_5,driver_form_10,dnf_rate,recent_dnf_rate,avg_quali_position,avg_race_pace,pace_consistency,experience_years,constructor,constructor_dnf_rate,recent_constructor_dnf_rate,constructor_dnf_trend,avg_constructor_finish,recent_avg_finish,constructor_finish_std,avg_points,track_type_street,overtake_difficulty,safety_car_prob,chaos_factor,qualifying_importance,dnf_risk_index
5,14.2,14.0,0.2,0.3333333333333333,9.85483870967742,89.55576188911515,1.5281700701450636,8,Kick Sauber,0.11458333333333333,0.4,0.0,14.59375,14.0,3.8677563875823684,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.02979166666666667
44,10.8,10.0,0.2,0.0,5.093023255813954,89.11669585994753,1.5357517334259654,8,Ferrari,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.5225106139881515,9.726878612716764,1,0.7,0.45,1.3,0.8,0.024797687861271678
7,15.8,15.8,0.3,0.3333333333333333,12.129411764705882,90.33138570268937,1.8528289459294713,8,Alpine,0.11956521739130435,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0466304347826087
14,11.2,11.5,0.2,0.0,9.911111111111111,89.7229914531255,1.8859200793099689,8,Aston Martin,0.12334801762114538,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
27,12.8,14.2,0.2,0.3333333333333333,12.273504273504274,91.42792512280492,1.5089884757059833,8,Kick Sauber,0.11458333333333333,0.4,0.0,14.59375,14.0,3.8677563875823684,0.7708333333333334,1,0.7,0.45,1.3,0.8,0.02979166666666667
55,10.2,10.8,0.2,0.0,7.825581395348837,89.40570513443039,1.667568116449994,8,Williams,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.7366096173434182,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.04823188405797101
31,10.4,12.4,0.0,0.0,11.887417218543046,89.92746491475647,1.7224610867407522,8,Haas F1 Team,0.1416184971098266,0.2,0.0,14.084057971014493,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.0
16,7.4,7.8,0.2,0.0,6.104046242774566,90.47026531376574,1.6395796345700984,8,Ferrari,0.0953757225433526,0.0,0.0,6.904624277456647,8.0,5.5225106139881515,9.726878612716764,1,0.7,0.45,1.3,0.8,0.024797687861271678
18,15.0,14.2,0.2,0.6666666666666666,14.186046511627907,90.23389561885863,1.7483612465164278,8,Aston Martin,0.12334801762114538,0.4,0.0,11.451327433628318,11.6,4.555809283770393,2.5198237885462555,1,0.7,0.45,1.3,0.8,0.0320704845814978
10,14.6,16.2,0.0,0.0,11.3121387283237,90.5290286167325,1.865506544482124,8,Alpine,0.11956521739130435,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
4,5.6,6.0,0.1,0.0,6.546052631578948,89.4464950041914,1.8154836150533795,7,McLaren,0.08959537572254335,0.0,0.0,8.479768786127167,6.2,5.483667021652227,7.176300578034682,1,0.7,0.45,1.3,0.8,0.011647398843930637
23,13.2,11.9,0.1,0.3333333333333333,12.0703125,90.37119472737365,1.8327028699553487,7,Williams,0.1855072463768116,0.2,0.0,14.623188405797102,11.8,3.7366096173434182,0.5971014492753624,1,0.7,0.45,1.3,0.8,0.024115942028985506
63,4.8,4.2,0.0,0.0,9.388157894736842,90.36960182984524,1.8105138040799083,7,Mercedes,0.06936416184971098,0.0,0.0,5.473988439306359,6.8,4.906152864546798,12.420520231213873,1,0.7,0.45,1.3,0.8,0.0
6,12.4,11.2,0.1,0.3333333333333333,15.564705882352941,89.09957473700308,1.9769185324540262,6,Racing Bulls,0.14583333333333334,0.2,0.0,12.3125,15.2,4.491866171440068,1.8333333333333333,1,0.7,0.45,1.3,0.8,0.018958333333333337
22,12.8,11.1,0.0,0.0,12.701754385964913,89.83104779088502,1.9428129794811249,5,Red Bull Racing,0.10264900662251655,0.0,0.0,6.513245033112582,7.6,5.78330941936289,11.491721854304636,1,0.7,0.45,1.3,0.8,0.0
1,1.8,1.6,0.0,0.0,3.010869565217391,89.32875251756356,1.5716169188183255,4,Red Bull Racing,0.10264900662251655,0.0,0.0,6.513245033112582,7.6,5.78330941936289,11.491721854304636,1,0.7,0.45,1.3,0.8,0.0
81,6.8,6.7,0.1,0.0,6.0,89.6042829694736,1.7428879531356103,3,McLaren,0.08959537572254335,0.0,0.0,8.479768786127167,6.2,5.483667021652227,7.176300578034682,1,0.7,0.45,1.3,0.8,0.011647398843930637
43,16.0,16.0,0.0,0.0,16.555555555555557,,,2,Alpine,0.11956521739130435,0.0,0.0,12.625,16.8,4.685243081446302,1.891304347826087,1,0.7,0.45,1.3,0.8,0.0
30,13.6,12.5,0.1,0.0,12.566666666666666,,,2,Racing Bulls,0.14583333333333334,0.2,0.0,12.3125,15.2,4.491866171440068,1.8333333333333333,1,0.7,0.45,1.3,0.8,0.018958333333333337
12,6.2,7.8,0.0,0.0,8.583333333333334,,,1,Mercedes,0.06936416184971098,0.0,0.0,5.473988439306359,6.8,4.906152864546798,12.420520231213873,1,0.7,0.45,1.3,0.8,0.0
87,10.2,9.9,0.1,0.3333333333333333,13.791666666666666,,,1,Haas F1 Team,0.1416184971098266,0.2,0.0,14.084057971014493,12.6,3.986372979478126,0.838150289017341,1,0.7,0.45,1.3,0.8,0.018410404624277458
