driver_number,avg_finish_position,podium_prob,top10_prob,dnf_prob,expected_points
81,1.4717285945072698,0.90973,0.90993,0.09007,19.98597
44,1.639943039361262,0.8212,0.82162,0.17838,17.18841
1,2.4090382013785994,0.61639,0.62092,0.37908,10.71243
4,3.383613473970738,0.38618,0.73475,0.26525,10.20693
16,4.066691740892073,0.1383,0.58493,0.41507,7.10733
63,5.120885237720493,0.03636,0.52099,0.47901,5.12619
7,6.799864161195382,0.00778,0.70339,0.29328,4.55765
55,4.652788388082506,0.04321,0.36652,0.63348,3.97008
31,7.154997922478779,0.00462,0.66653,0.32612,3.88752
12,5.799709154701999,0.01427,0.43322,0.56678,3.65553
14,5.580281916174071,0.01538,0.37387,0.62613,3.32236
87,8.151678002631064,0.00123,0.66516,0.28546,2.8601
5,6.409355654053262,0.00443,0.27293,0.72701,1.96816
23,8.954125267261979,0.00043,0.52127,0.36392,1.78949
30,10.0053168743051,0.00011,0.4232,0.29846,1.15554
27,9.831938681024727,0.00014,0.37496,0.41682,1.0576
6,8.4064670234883,0.0002,0.20355,0.77393,0.8162
43,11.07079344820251,4e-05,0.2681,0.29485,0.60034
18,10.871650061271245,0.0,0.0793,0.81231,0.1829
22,11.971059045086962,0.0,0.08376,0.63892,0.16865
10,11.688812729498164,0.0,0.05546,0.79575,0.11565
