driver_number,p_dnf,p_top10_given_finish,p_podium_given_top10,p_top10,p_podium,avg_quali_position,grid_baseline,grid_good,grid_bad
81,0.09026881,0.96573055,0.97298265,0.87855524,0.854819,6.0,3.0,3.0,5.0
44,0.17729342,0.9756385,0.97043276,0.8026642,0.7789317,5.093023255813954,2.0,2.0,2.0
4,0.26672748,0.95971644,0.9038429,0.70373374,0.63606477,6.546052631578948,5.0,5.0,4.0
1,0.37798196,0.9981007,0.97122836,0.6208366,0.6029741,3.010869565217391,1.0,1.0,1.0
16,0.41174492,0.8844132,0.888095,0.5202605,0.46204078,6.104046242774566,4.0,4.0,3.0
63,0.48066804,0.7977674,0.8759088,0.41430607,0.36289433,9.388157894736842,8.0,8.0,10.0
55,0.6352621,0.9778797,0.9049545,0.3566698,0.32276994,7.825581395348837,6.0,6.0,6.0
14,0.6254169,0.8922622,0.85809594,0.33422637,0.2867983,9.911111111111111,9.0,9.0,9.0
12,0.5664746,0.8701203,0.7413501,0.37721923,0.27965152,8.583333333333334,7.0,7.0,7.0
7,0.29281315,0.35654232,0.8270174,0.25214204,0.20852587,12.129411764705882,13.0,14.0,15.0
31,0.32642704,0.33675182,0.84128994,0.22682692,0.1908272,11.887417218543046,14.0,12.0,14.0
87,0.28607273,0.78773403,0.3366299,0.5623848,0.18931553,13.791666666666666,18.0,18.0,17.0
5,0.7266203,0.9165235,0.72847766,0.2505589,0.18252657,9.85483870967742,10.0,10.0,8.0
6,0.7735993,0.6372117,0.7307662,0.14426516,0.1054241,15.56470588235294,20.0,20.0,20.0
23,0.36417943,0.5528621,0.19170316,0.3515211,0.06738771,12.0703125,12.0,13.0,12.0
27,0.41619903,0.3348936,0.28383178,0.19551122,0.055492297,12.273504273504274,15.0,15.0,13.0
30,0.298622,0.50790983,0.12106347,0.3562368,0.04312726,12.566666666666666,16.0,16.0,16.0
43,0.2990886,0.45551568,0.12620762,0.31927612,0.04029508,16.555555555555557,21.0,21.0,21.0
18,0.8128329,0.84713304,0.1757261,0.15855545,0.02786233,14.186046511627907,19.0,19.0,19.0
22,0.6389923,0.18353508,0.1521117,0.06625757,0.010078552,12.701754385964913,17.0,17.0,18.0
10,0.79454046,0.17271583,0.16699104,0.035486113,0.005925863,11.3121387283237,11.0,11.0,11.0
